2016-1-1 0:0:00,9*10^-01
2016-01-01 00:04:00,1.09145083*10^+00
2016-01-01 00:08:00,2.10125631192*10^-01
2016-01-01 00:12:00,9.8123102122043770*10^-01
2016-01-01 00:16:00,0.182
2016-01-01 00:20:00,3.393417082444493*10^-01
2016-01-01 00:24:00,0.06383
2016-01-01 00:28:00,1.1522232094557133264*10^-01
2016-01-01 00:32:00,6.35206002479*10^-01
2016-01-01 00:36:00,1.0*10^+00
2016-01-01 00:40:00,0.3
2016-01-01 00:44:00,9.210716764075084*10^-01
2016-01-01 00:48:00,5.4090884073679746*10^-01
2016-01-01 00:52:00,3.07013931454631*10^-01
2016-01-01 00:56:00,1.0765053128248571745
2016-01-01 01:00:00,5.4048215604409677*10^-01
2016-01-01 01:04:00,2.04446356*10^-01
2016-01-01 01:08:00,6*10^-02
2016-01-01 01:12:00,9.51828075*10^-01
2016-01-01 01:16:00,1.02642*10^+00
2016-01-01 01:20:00,0.014068
2016-01-01 01:24:00,0.2276176282333292333
2016-01-01 01:28:00,0.21973
2016-01-01 01:32:00,1.47758957998715*10^-01
2016-01-01 01:36:00,8.9429708984*10^-01
2016-01-01 01:40:00,1.079784617330779*10^+00
2016-01-01 01:44:00,0.990686
2016-01-01 01:48:00,0.17604001396151261
2016-01-01 01:52:00,1.181469484037*10^+00
2016-01-01 01:56:00,0.69715186669
2016-01-01 02:00:00,1.058193917134
2016-01-01 02:04:00,0.01300712
2016-01-01 02:08:00,0.9
2016-01-01 02:12:00,1.08*10^+00
2016-01-01 02:16:00,1*10^+00
2016-01-01 02:20:00,0.2994192907
2016-01-01 02:24:00,9.93694*10^-01
2016-01-01 02:28:00,3.789386900043760498*10^-02
2016-01-01 02:32:00,0.997232044
2016-01-01 02:36:00,1.5*10^-01
2016-01-01 02:40:00,0.5515449573060241528
2016-01-01 02:44:00,1
2016-01-01 02:118:00,1.9991220883089686478*10^+00
2016:01:01 02-52-00,0.0
2016-01-01 02:56:00,1.1104818893180
2016-01-01 03:00:00,0.0936871279467
2016-01-01 03:04:00,0.9018077467110976
2016-01-01 03:08:00,3.54196548440585179*10^-01
2016-01-01 03:12:00,0.171615390000686
2016-01-01 03:16:00,7.996688060*10^-01
2016-01-01 03:20:00,8.7089139*10^-01
2016-01-01 03:24:00,0.096022451
2016-01-01 03:28:00,2.7044735861*10^-01
2016-01-01 03:32:00,8.3843*10^-01
2016-01-01 03:36:00,2.386041575291*10^-01
2016-01-01 03:40:00,0.9952444205970
2016-01-01 03:44:00,0.8604405181763882249
2016-01-01 03:48:00,4.9361840844788512639*10^-01
2016-01-01 03:52:00,0.85721150341314
2016-01-01 03:56:00,7.127733107250*10^-01
2016-01-01 04:00:00,7.97*10^-01
2016-01-01 04:04:00,0.352516541235
2016-01-01 04:08:00,0.88091
2016-01-01 04:12:00,0.2720806797370691
2016-01-01 04:16:00,0.102834
