2016-1-1 0:0:00,0.02859336456
2016-01-01 00:04:00,4.4057422151815812*10^-01
2016-01-01 00:08:00,0.816846510
2016-01-01 00:12:00,0
2016-01-01 00:16:00,3.9628126230*10^-01
2016-01-01 00:20:00,0.29343619155392
2016-01-01 00:24:00,1.084452033734
2016-01-01 00:28:00,1.2508*10^-01
2016-01-01 00:32:00,0.7985734
2016-01-01 00:36:00,0.90490
2016-01-01 00:40:00,0.31211114614834595
2016-01-01 00:44:00,3.320464713183*10^-01
2016-01-01 00:48:00,0.776592109527715
2016-01-01 00:52:00,1.04135*10^+00
2016-01-01 00:56:00,5.3633429358542628*10^-01
2016-01-01 01:00:00,4.555431*10^-02
2016-01-01 01:04:00,5.663867608*10^-01
2016-01-01 01:08:00,3.78983*10^-01
2016-01-01 01:12:00,6.06307*10^-01
2016-01-01 01:16:00,1.10374710834759626*10^+00
2016-01-01 01:20:00,1.13866501615321*10^+00
2016-01-01 01:24:00,0.69871
2016-01-01 01:28:00,1.1*10^+00
2016-01-01 01:32:00,0.37921023069844
2016-01-01 01:36:00,0.8404045
2016-01-01 01:40:00,5.75179264403497426*10^-01
2016-01-01 01:44:00,3.616390548467817712*10^-01
2016-01-01 01:48:00,2.2359846822154*10^-01
2016-01-01 01:52:00,6.3*10^-01
2016-01-01 01:56:00,0.70
2016-01-01 02:00:00,5.650111458*10^-01
2016-01-01 02:04:00,1.1752611738
2016-01-01 02:08:00,0.019332361230316
2016-01-01 02:12:00,8.5115973467526940*10^-01
2016-01-01 02:16:00,5.3095919868487828630*10^-01
2016-01-01 02:20:00,0.23172
2016-01-01 02:24:00,0.7417642960053701939
2016-01-01 02:28:00,7.623293831769047*10^-02
2016-01-01 02:32:00,1.1602717084625*10^-02
2016-01-01 02:36:00,0.0935156269
2016-01-01 02:40:00,2.009180636149*10^-02
2016-01-01 02:44:00,0.88265
2016-01-01 02:48:00,1.03155071187371
2016-01-01 02:52:00,0.61
2016-01-01 02:56:00,9.06355871309691974*10^-02
2016-01-01 03:00:00,0.025
2016-01-01 03:04:00,#0.000000000
2016-01-01 03:08:00,6.79025088008*10^-01
2016-01-01 03:12:00,0.64679679379184
2016-01-01 03:16:00,1.432349749576463105*10^-01
2016-01-01 03:20:00,0.81236061957
2016-01-01 03:24:00,9*10^-02
2016-01-01 03:28:00,0.61486269991
2016-01-01 03:32:00,2.353857945*10^-01
2016-01-01 03:36:00,1.1399266747478054018*10^+00
2016-01-01 03:40:00,0.4
2016-01-01 03:44:00,2.8148*10^-01
2016-01-01 03:48:00,1.028741603078666023
2016-01-01 03:52:00,1.0475945558*10^+00
