Id,SalePrice
1461,122802.674598
1462,166369.200795
1463,180941.739389
1464,193619.105734
1465,199611.660379
1466,163668.710897
1467,181511.741365
1468,149952.586736
1469,196245.818436
1470,119335.465118
1471,205361.92714
1472,81404.1001104
1473,84508.7349583
1474,143304.029185
1475,111044.256819
1476,345770.24623
1477,255963.938192
1478,316049.469582
1479,276400.415501
1480,444867.477717
1481,298371.104614
1482,218161.838378
1483,167772.641514
1484,165143.369411
1485,178213.362845
1486,196622.066339
1487,289351.240486
1488,254419.738088
1489,190529.245762
1490,224166.256992
1491,194588.806677
1492,99554.7391986
1493,194338.79533
1494,305296.63085
1495,281569.874916
1496,220311.853775
1497,183518.848392
1498,154491.791063
1499,156642.10477
1500,142275.585568
1501,198409.956185
1502,148186.461461
1503,301691.320572
1504,245355.649884
1505,221292.251306
1506,190625.693521
1507,251805.690477
1508,205147.899091
1509,130571.476398
1510,138102.863763
1511,144997.486494
1512,178647.271897
1513,135072.787966
1514,162015.496765
1515,204954.266802
1516,152235.820875
1517,164507.537483
1518,121111.900686
1519,227438.781755
1520,121843.990248
1521,133623.66504
1522,189840.463498
1523,89268.9767808
1524,126962.326993
1525,126000.208348
1526,105496.382787
1527,96791.873128
1528,135863.228563
1529,140493.464642
1530,190512.619488
1531,151465.897142
1532,121501.387507
1533,165471.318419
1534,104460.393438
1535,176047.189768
1536,93696.392033
1537,67891.5700508
1538,178639.676505
1539,229418.745946
1540,127951.532853
1541,134772.014863
1542,147467.436282
1543,214256.796541
1544,94390.3979027
1545,119884.417806
1546,128378.346094
1547,142513.834714
1548,140503.824487
1549,95549.0870842
1550,119385.668326
1551,137618.595649
1552,156231.518199
1553,150954.237075
1554,109862.154633
1555,184173.734026
1556,65866.4003036
1557,115526.56484
1558,84630.9578561
1559,60638.1690671
1560,146977.819518
1561,137137.068214
1562,116037.384893
1563,109418.140131
1564,165481.711226
1565,136429.447006
1566,245155.809583
1567,61404.1178467
1568,204948.201048
1569,141964.664252
1570,128921.880999
1571,109613.858396
1572,150538.443256
1573,240862.027872
1574,98793.279646
1575,228566.561936
1576,269690.170141
1577,182680.468804
1578,111736.867408
1579,143466.659177
1580,197977.335265
1581,154460.843636
1582,108087.803754
1583,308410.813571
1584,219090.573371
1585,138043.360858
1586,75043.5604801
1587,88268.2233262
1588,152178.853208
1589,97771.2914533
1590,132489.371215
1591,89218.2470972
1592,115554.571901
1593,118103.897363
1594,193632.566019
1595,80106.0821633
1596,215327.339848
1597,173404.779951
1598,196475.967959
1599,200488.971857
1600,184187.178424
1601,95839.9197421
1602,98053.2371622
1603,105589.604249
1604,265071.700132
1605,271139.724766
1606,173374.34671
1607,176017.557951
1608,214487.111019
1609,179364.6464
1610,138511.691646
1611,125511.470279
1612,161367.380682
1613,158154.466599
1614,129065.274667
1615,98559.5879392
1616,60882.985048
1617,90020.8200237
1618,116222.805384
1619,123618.016687
1620,169005.17583
1621,126442.906456
1622,115115.223068
1623,281954.582181
1624,183907.083782
1625,112674.089988
1626,164791.943041
1627,188151.634431
1628,309162.817723
1629,176213.018386
1630,296279.134438
1631,222303.75017
1632,240976.967986
1633,158607.002216
1634,174439.676161
1635,166301.658273
1636,131453.430345
1637,189263.525164
1638,193722.268969
1639,185808.12261
1640,262714.217865
1641,180762.255456
1642,218967.544293
1643,226648.262035
1644,233673.687608
1645,241058.581935
1646,149138.548608
1647,163008.131985
1648,118982.823059
1649,128526.615663
1650,122369.319689
1651,122524.332802
1652,81131.8979671
1653,82918.7245784
1654,130795.856359
1655,147191.588483
1656,127709.821878
1657,135837.645351
1658,124912.994095
1659,128748.066557
1660,147458.838252
1661,437027.242368
1662,381858.357173
1663,351314.013866
1664,436975.633153
1665,311857.70343
1666,306050.452577
1667,320575.422539
1668,332088.083518
1669,311441.550668
1670,333236.96329
1671,248644.028829
1672,385185.403074
1673,319298.944218
1674,256525.109629
1675,187208.041101
1676,184332.125464
1677,215022.464222
1678,423559.108966
1679,326458.593727
1680,314503.38242
1681,266716.509738
1682,290508.789554
1683,179499.509884
1684,175834.883012
1685,155146.463917
1686,168821.285065
1687,156702.795463
1688,183955.672576
1689,186632.166439
1690,199124.958257
1691,181789.100037
1692,275139.878771
1693,162228.66089
1694,172604.516921
1695,150784.049302
1696,266336.60566
1697,160726.163856
1698,345759.272297
1699,332538.797927
1700,237386.283846
1701,267855.997545
1702,262532.2845
1703,266720.023543
1704,284210.045802
1705,235721.196801
1706,367431.472684
1707,192727.371761
1708,198696.711755
1709,297497.929183
1710,226381.109276
1711,273913.130794
1712,255092.88118
1713,262879.150481
1714,218402.707087
1715,192690.450919
1716,190237.039794
1717,172579.78764
1718,143836.892892
1719,201074.860663
1720,258390.55737
1721,178022.335608
1722,135008.469494
1723,159354.605726
1724,210718.817749
1725,230574.420922
1726,168674.497645
1727,140789.542723
1728,166520.41421
1729,150157.167268
1730,139458.688341
1731,101758.46871
1732,99157.6844523
1733,109221.917611
1734,108463.433111
1735,117283.383497
1736,93122.6881829
1737,317887.760778
1738,231427.480983
1739,305340.700682
1740,189485.26963
1741,189134.147822
1742,158408.994204
1743,164646.315798
1744,293781.585024
1745,215073.736056
1746,209942.343834
1747,222780.668115
1748,220055.764018
1749,140069.480709
1750,136289.274823
1751,222972.189857
1752,108270.660644
1753,149149.201354
1754,215873.981845
1755,163039.52318
1756,139876.485678
1757,100490.390236
1758,160599.407291
1759,172010.100362
1760,154791.429592
1761,164986.710969
1762,189203.108237
1763,158818.874525
1764,91737.6855972
1765,189064.80055
1766,197184.120037
1767,248505.444411
1768,138743.158135
1769,192647.055259
1770,140479.972488
1771,122473.584207
1772,128297.24728
1773,134998.250962
1774,127117.074066
1775,124759.904839
1776,121143.682462
1777,103362.648362
1778,137183.706611
1779,107964.858122
1780,181326.068378
1781,125273.312697
1782,85726.4137406
1783,119908.95308
1784,82681.1452613
1785,97431.2993887
1786,227783.950485
1787,153476.73555
1788,90165.1252406
1789,84548.6569828
1790,57092.4634931
1791,182913.714694
1792,168619.730217
1793,127318.813156
1794,149229.419578
1795,127807.954961
1796,111341.663446
1797,122904.020066
1798,94271.2877346
1799,104627.656283
1800,102325.528777
1801,107971.079499
1802,129830.150802
1803,135313.082533
1804,133949.317984
1805,131867.581186
1806,122683.7642
1807,175744.478459
1808,98722.2190289
1809,108908.077896
1810,142943.682692
1811,87911.8184763
1812,90620.2971684
1813,112399.329666
1814,88130.2439982
1815,60660.1830329
1816,76169.5680208
1817,83303.0776657
1818,143367.855414
1819,112817.769908
1820,36896.9720134
1821,108654.20356
1822,130873.487445
1823,41594.7465835
1824,135098.260014
1825,108627.597684
1826,84534.8208705
1827,93043.1818187
1828,135731.043636
1829,184655.053233
1830,141918.141923
1831,166754.405876
1832,75082.547958
1833,147243.371328
1834,118162.454549
1835,129046.312977
1836,135354.047494
1837,115696.975552
1838,122867.733465
1839,80531.5897778
1840,169236.904913
1841,116769.374391
1842,36390.0112966
1843,131488.348875
1844,115439.231111
1845,102004.648943
1846,139239.935649
1847,156583.791021
1848,50521.0578417
1849,112490.720701
1850,100748.354211
1851,151965.707816
1852,110599.02581
1853,111489.952437
1854,175482.450822
1855,137066.994491
1856,219277.308321
1857,142717.623521
1858,100808.92396
1859,85540.1230344
1860,140291.833099
1861,84429.9707891
1862,339204.251473
1863,336277.196459
1864,336286.960973
1865,334100.767121
1866,327491.868812
1867,247308.510895
1868,282674.222062
1869,206145.805926
1870,252526.492081
1871,247652.617344
1872,152039.717849
1873,216292.307029
1874,142539.123307
1875,201491.657133
1876,187961.904954
1877,210157.945722
1878,198260.204045
1879,106457.83738
1880,121684.040216
1881,242854.200044
1882,253016.290246
1883,176632.414422
1884,196165.778185
1885,250207.561539
1886,271134.913914
1887,203424.253064
1888,281585.764924
1889,151381.115583
1890,118409.261895
1891,137253.119167
1892,80737.2430884
1893,142376.673602
1894,111818.667208
1895,143438.383443
1896,123912.524879
1897,118397.999352
1898,108306.654783
1899,132819.240829
1900,130637.14994
1901,163653.694354
1902,129880.7712
1903,243611.056065
1904,118840.656299
1905,172759.323527
1906,147374.631485
1907,198752.547923
1908,86206.7452172
1909,123873.364494
1910,105030.870334
1911,180164.117637
1912,275271.633829
1913,121391.969215
1914,55660.907213
1915,270050.790212
1916,79508.6123069
1917,272496.430649
1918,132179.262714
1919,187173.359959
1920,156199.752375
1921,354513.403205
1922,314551.743537
1923,202149.278113
1924,214763.106197
1925,211623.885714
1926,343850.990861
1927,120730.377585
1928,147550.618794
1929,121749.788191
1930,115625.002074
1931,136979.641331
1932,123347.516957
1933,150574.107052
1934,173229.610433
1935,155325.880929
1936,178778.480556
1937,163247.438816
1938,153560.098452
1939,238642.90285
1940,186650.256422
1941,155650.325714
1942,165276.645136
1943,204112.510763
1944,309179.579158
1945,332793.982511
1946,130339.740523
1947,298765.078581
1948,180136.264025
1949,224905.411969
1950,182422.365494
