filereader.0.0: /sdcard/bench4K, 190
filereader.0.0: /sdcard/bench16K, 728
filereader.0.0: /sdcard/bench32K, 1445
filereader.0.0: /sdcard/bench64K, 2879
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 731
filereader.0.0: /sdcard/bench32K, 1452
filereader.0.0: /sdcard/bench64K, 2878
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 731
filereader.0.0: /sdcard/bench32K, 1452
filereader.0.0: /sdcard/bench64K, 2878
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 731
filereader.0.0: /sdcard/bench32K, 1452
filereader.0.0: /sdcard/bench64K, 2874
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 731
filereader.0.0: /sdcard/bench32K, 1452
filereader.0.0: /sdcard/bench64K, 2876
