filereader.0.0: /sdcard/bench4K, 190
filereader.0.0: /sdcard/bench16K, 728
filereader.0.0: /sdcard/bench32K, 1446
filereader.0.0: /sdcard/bench64K, 2880
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 732
filereader.0.0: /sdcard/bench32K, 1453
filereader.0.0: /sdcard/bench64K, 2879
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 732
filereader.0.0: /sdcard/bench32K, 1453
filereader.0.0: /sdcard/bench64K, 2879
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 732
filereader.0.0: /sdcard/bench32K, 1453
filereader.0.0: /sdcard/bench64K, 2875
filereader.0.0: /sdcard/bench4K, 191
filereader.0.0: /sdcard/bench16K, 732
filereader.0.0: /sdcard/bench32K, 1453
filereader.0.0: /sdcard/bench64K, 2877
