time=3.316235605,thread=0,resp_time=106.40291341975309,throughput=53.97890527772606,queue_time=96.33081343209876,queue_size=345,calculating=0.03213643209876543,waiting=9.929981771604938,mainthread=0.10998178395061729,gets=162,sets=0
time=3.319225263,thread=1,resp_time=102.71575232335329,throughput=55.6449208727176,queue_time=92.80984915568862,queue_size=351,calculating=0.02875391017964072,waiting=9.800793305389222,mainthread=0.0763559520958084,gets=167,sets=0
time=3.319420267,thread=2,resp_time=104.07186920231214,throughput=57.64413958670745,queue_time=94.67817465317918,queue_size=351,calculating=0.021754699421965316,waiting=9.34744225433526,mainthread=0.024497595375722544,gets=173,sets=0
time=3.31954537,thread=3,resp_time=92.93998268617021,throughput=62.64218637168209,queue_time=84.18012847340425,queue_size=351,calculating=0.03838590957446808,waiting=8.692880489361702,mainthread=0.028587813829787236,gets=188,sets=0
time=3.319660172,thread=4,resp_time=97.2693896723164,throughput=58.97695206270069,queue_time=88.09471311299434,queue_size=351,calculating=0.028478542372881353,waiting=9.122887338983052,mainthread=0.023310677966101697,gets=177,sets=0
time=3.319789074,thread=5,resp_time=102.8347306583851,throughput=53.645702158727744,queue_time=92.77144769565217,queue_size=351,calculating=0.021129,waiting=10.018095770186335,mainthread=0.02405819254658385,gets=161,sets=0
time=3.319928377,thread=6,resp_time=98.39222293103448,throughput=57.97734270570576,queue_time=88.88507050574712,queue_size=351,calculating=0.1521052356321839,waiting=9.300625448275863,mainthread=0.05442174137931035,gets=174,sets=0
time=3.320038479,thread=7,resp_time=97.67493125,throughput=57.31093646770914,queue_time=88.24431202325582,queue_size=351,calculating=0.029143622093023257,waiting=9.345875075581397,mainthread=0.055600529069767445,gets=172,sets=0
time=3.320154882,thread=8,resp_time=104.3858102982456,throughput=56.977733348710835,queue_time=94.78636192982457,queue_size=351,calculating=0.023528538011695906,waiting=9.550103578947368,mainthread=0.025816251461988304,gets=171,sets=0
time=3.320273884,thread=9,resp_time=103.18804491558441,throughput=51.31328032573958,queue_time=92.56131064285715,queue_size=351,calculating=0.027411545454545456,waiting=10.572296272727273,mainthread=0.027026454545454544,gets=154,sets=0
time=3.320401586,thread=10,resp_time=102.9440846374269,throughput=56.977733348710835,queue_time=93.35610545614036,queue_size=351,calculating=0.05884966666666666,waiting=9.473545959064328,mainthread=0.05558355555555555,gets=171,sets=0
